iter	Passed	Remaining
0	167	49938
1	218	32626
2	269	26703
3	322	23850
4	373	22009
5	423	20739
6	471	19716
7	517	18894
8	568	18375
9	613	17800
10	660	17356
11	708	17011
12	758	16734
13	808	16523
14	857	16284
15	907	16112
16	958	15957
17	1008	15800
18	1057	15642
19	1107	15504
20	1153	15325
21	1201	15184
22	1250	15062
23	1301	14965
24	1350	14860
25	1399	14751
26	1446	14626
27	1495	14530
28	1545	14442
29	1591	14321
30	1640	14237
31	1690	14160
32	1739	14073
33	1789	13996
34	1834	13886
35	1878	13778
36	1927	13699
37	1978	13644
38	2028	13577
39	2074	13483
40	2125	13428
41	2170	13336
42	2219	13265
43	2268	13199
44	2315	13121
45	2363	13052
46	2414	12995
47	2460	12920
48	2510	12859
49	2556	12784
50	2609	12738
51	2657	12676
52	2708	12621
53	2754	12546
54	2804	12494
55	2850	12419
56	2898	12354
57	2950	12310
58	2998	12249
59	3048	12195
60	3093	12121
61	3142	12061
62	3188	11993
63	3237	11937
64	3286	11882
65	3334	11823
66	3384	11769
67	3435	11721
68	3483	11662
69	3533	11609
70	3579	11543
71	3629	11494
72	3675	11430
73	3727	11384
74	3781	11343
75	3831	11293
76	3880	11237
77	3926	11175
78	3976	11123
79	4024	11066
80	4073	11013
81	4119	10953
82	4168	10897
83	4218	10848
84	4265	10789
85	4314	10735
86	4364	10684
87	4412	10629
88	4457	10566
89	4504	10509
90	4555	10461
91	4601	10403
92	4648	10347
93	4699	10299
94	4748	10247
95	4795	10191
96	4843	10136
97	4891	10081
98	4938	10027
99	4990	9980
100	5040	9931
101	5090	9882
102	5134	9820
103	5182	9766
104	5230	9714
105	5277	9658
106	5329	9612
107	5376	9558
108	5425	9506
109	5471	9450
110	5520	9399
111	5567	9345
112	5616	9295
113	5663	9240
114	5709	9185
115	5755	9129
116	5803	9077
117	5850	9023
118	5897	8970
119	5946	8920
120	5995	8869
121	6041	8814
122	6090	8764
123	6139	8713
124	6186	8661
125	6231	8605
126	6277	8551
127	6321	8494
128	6367	8440
129	6413	8386
130	6462	8336
131	6511	8287
132	6558	8235
133	6605	8182
134	6652	8131
135	6699	8078
136	6749	8030
137	6797	7980
138	6845	7928
139	6891	7875
140	6940	7826
141	6987	7774
142	7035	7723
143	7084	7674
144	7133	7625
145	7180	7573
146	7227	7522
147	7275	7472
148	7322	7421
149	7369	7369
150	7415	7317
151	7463	7267
152	7512	7217
153	7557	7164
154	7605	7114
155	7653	7064
156	7700	7014
157	7749	6964
158	7795	6912
159	7843	6863
160	7894	6815
161	7943	6766
162	7991	6716
163	8040	6667
164	8091	6620
165	8141	6571
166	8191	6523
167	8237	6472
168	8284	6421
169	8330	6370
170	8379	6321
171	8430	6273
172	8477	6223
173	8524	6172
174	8570	6121
175	8620	6073
176	8664	6021
177	8711	5970
178	8758	5920
179	8807	5871
180	8855	5821
181	8902	5772
182	8949	5721
183	8998	5672
184	9045	5622
185	9090	5571
186	9137	5521
187	9187	5473
188	9239	5426
189	9289	5377
190	9337	5328
191	9385	5279
192	9434	5230
193	9480	5180
194	9529	5131
195	9576	5081
196	9622	5031
197	9672	4982
198	9720	4933
199	9766	4883
200	9813	4833
201	9863	4785
202	9914	4737
203	9963	4688
204	10007	4637
205	10055	4588
206	10102	4538
207	10149	4489
208	10195	4439
209	10243	4390
210	10291	4340
211	10338	4291
212	10386	4242
213	10431	4192
214	10479	4143
215	10527	4093
216	10573	4044
217	10621	3995
218	10668	3945
219	10714	3896
220	10762	3847
221	10808	3797
222	10858	3749
223	10909	3701
224	10956	3652
225	11002	3602
226	11050	3553
227	11096	3504
228	11142	3454
229	11188	3405
230	11233	3355
231	11284	3307
232	11334	3259
233	11382	3210
234	11431	3161
235	11478	3112
236	11528	3064
237	11578	3016
238	11630	2968
239	11678	2919
240	11727	2871
241	11777	2822
242	11829	2774
243	11880	2726
244	11931	2678
245	11979	2629
246	12030	2581
247	12077	2532
248	12126	2483
249	12173	2434
250	12221	2385
251	12266	2336
252	12315	2287
253	12371	2240
254	12419	2191
255	12467	2142
256	12513	2093
257	12562	2045
258	12609	1996
259	12655	1947
260	12701	1897
261	12748	1849
262	12795	1800
263	12843	1751
264	12890	1702
265	12935	1653
266	12984	1604
267	13031	1555
268	13078	1507
269	13125	1458
270	13173	1409
271	13222	1361
272	13270	1312
273	13316	1263
274	13365	1215
275	13411	1166
276	13458	1117
277	13506	1068
278	13556	1020
279	13604	971
280	13651	923
281	13698	874
282	13746	825
283	13795	777
284	13843	728
285	13890	679
286	13936	631
287	13982	582
288	14027	533
289	14074	485
290	14120	436
291	14167	388
292	14213	339
293	14260	291
294	14309	242
295	14355	193
296	14403	145
297	14450	96
298	14497	48
299	14546	0
